DateTime,Entries,UniqueIPs
1607584923,6104,6642
1607586123,6080,6608
1607587323,6090,6619
1607588523,6075,6603
1607589724,6029,6546
1607590923,6039,6556
1607592124,6030,6547
1607593323,6019,6530
1607594523,6043,6559
1607595724,6038,6552
1607596324,6054,6569
1607596923,6070,6589
1607598123,5990,6500
1607599323,5989,6494
1607599924,5990,6499
1607600523,5984,6499
1607601724,6001,6516
1607602923,5973,6486
1607603524,6006,6520
1607604124,6020,6534
1607604723,6028,6541
1607605323,6055,6571
1607606524,6071,6587
1607607124,6072,6590
1607607724,6057,6572
1607608923,6065,6577
1607609523,6063,6577
1607610123,6088,6607
1607611323,6066,6584
1607612523,6060,6573
1607613724,6074,6589
1607614324,6089,6602
1607614924,6108,6628
1607616123,6112,6635
1607617324,6096,6617
1607617923,6116,6645
1607618524,6140,6670
1607619123,6140,6671
1607619723,6151,6683
1607620924,6141,6669
1607621524,6167,6697
1607622123,6152,6683
1607623324,6157,6682
1607623924,6136,6661
1607625124,6131,6655
1607625723,6093,6612
1607626924,6079,6592
1607628123,6074,6584
1607629323,6073,6583
1607630524,6077,6592
1607631724,6094,6610
1607632923,6082,6599
1607634124,6096,6597
1607635324,6038,6535
1607636524,6036,6535
1607637123,6030,6532
1607637723,6043,6545
1607638923,6057,6558
1607639524,6070,6571
1607640124,6039,6539
1607640724,6051,6552
1607641323,6078,6583
1607641923,6086,6589
1607642523,6104,6609
1607643723,6048,6545
1607644924,6068,6569
1607645523,6070,6567
1607646123,6055,6552
1607646724,6070,6569
1607647323,6085,6584
1607648523,6083,6577
1607649124,6071,6558
1607650324,6067,6554
1607650924,6074,6556
1607651523,6104,6587
1607652124,6121,6607
1607652723,6130,6620
1607653324,6137,6627
1607654524,6162,6653
1607655123,6159,6651
1607655723,6152,6639
1607656923,6172,6659
1607657524,6122,6604
1607658124,6142,6624
1607658723,6133,6617
1607659323,6147,6631
1607660524,6165,6647
1607661124,6157,6648
1607661723,6173,6668
1607662923,6175,6673
1607663524,6174,6669
1607664123,6183,6679
1607665323,6189,6685
1607666524,6168,6664
1607667723,6160,6652
1607668924,6128,6613
1607670123,6124,6610
1607671324,6130,6616
1607671923,6140,6624
1607672523,6160,6649
1607673723,6170,6661
1607674923,6189,6678
1607676123,6195,6681
1607677323,6204,6688
1607677924,6212,6697
1607678524,6227,6714
1607679723,6253,6743
1607680924,6207,6688
1607682124,6243,6727
1607682723,6248,6729
1607683324,6220,6700
1607684523,6242,6725
1607685724,6245,6721
1607686324,6253,6729
1607686923,6274,6750
1607688123,6243,6713
1607688723,6269,6740
1607689323,6289,6765
1607690524,6279,6752
1607691124,6276,6745
1607691723,6270,6737
1607692924,6246,6709
1607694124,6267,6734
1607695323,6268,6740
1607696523,6245,6710
1607697123,6274,6740
1607697723,6274,6734
1607698924,6273,6732
1607700124,6268,6725
1607700724,6261,6716
1607701323,6236,6690
1607701923,6255,6711
1607702523,6281,6737
1607703724,6283,6741
1607704324,6252,6708
1607704924,6238,6691
1607706124,6229,6688
1607706724,6237,6695
1607707323,6256,6716
1607707924,6257,6720
1607708523,6248,6710
1607709724,6235,6697
1607710923,6255,6714
1607712123,6272,6730
1607712723,6272,6728
1607713924,6265,6726
1607714523,6254,6712
1607715723,6254,6715
1607716924,6234,6699
1607718123,6256,6725
1607719323,6235,6700
1607719923,6245,6714
1607720524,6266,6737
1607721724,6261,6732
1607722923,6261,6729
1607724123,6277,6749
1607725324,6232,6705
1607725924,6263,6737
1607726524,6272,6748
1607727124,6272,6747
1607728323,6249,6719
1607728924,6254,6723
1607730124,6250,6716
1607731323,6253,6717
1607731924,6267,6736
1607732524,6278,6742
1607733724,6247,6706
1607734324,6266,6728
1607734923,6277,6742
1607735524,6275,6743
1607736124,6282,6756
1607736724,6292,6771
1607737324,6276,6756
1607737924,6275,6750
1607738523,6251,6724
1607739124,6272,6745
1607739723,6277,6752
1607740924,6278,6754
1607742124,6245,6717
1607742723,6240,6708
1607743324,6246,6715
1607743923,6246,6718
1607744524,6251,6725
1607745123,6268,6745
1607745724,6233,6711
1607746323,6244,6723
1607746923,6249,6727
1607748124,6231,6706
1607748723,6245,6725
1607749324,6243,6722
1607750523,6243,6718
1607751724,6233,6703
1607752923,6248,6720
1607753524,6259,6728
1607754123,6252,6721
1607754724,6269,6741
1607755324,6254,6733
1607755923,6259,6741
1607756523,6263,6745
1607757724,6248,6733
1607758324,6212,6689
1607758924,6215,6691
1607759523,6232,6710
1607760124,6223,6699
1607760723,6231,6708
1607761324,6241,6719
1607762524,6233,6711
1607763123,6233,6711
1607763723,6230,6709
1607764924,6238,6722
